,img,player,position,height,weight,college,draft_yr,pick,drafted_by,all_nba,all_star,yrs,games,games_started,tot_min_played,tot_pts,tot_trb,tot_ast,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,win_share,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
0,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/aytonde01.jpg,Deandre Ayton,C, 7-1,250lb,Arizona,2018,1,PHO,0,0,1,71,70,2183,1159,729,125,0.585,0.0,0.746,30.7,16.3,10.3,1.8,7.2,12.3,0.0,0.1,0.585,2.0,2.7,3.1,7.1,0.9,0.9,1.8,2.9,5.8,0.128,0.2,1.2,1,85,250,5,Greg Monroe
1,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/baglema01.jpg,Marvin Bagley,PF, 6-11,234lb,Duke,2018,2,SAC,0,0,1,62,4,1567,923,471,62,0.504,0.313,0.691,25.3,14.9,7.6,1.0,5.7,11.4,0.5,1.5,0.525,2.9,4.2,2.6,5.0,0.5,1.0,1.6,1.9,3.6,0.11,-1.8,0.1,1,83,234,4,John Collins
2,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/jacksja02.jpg,Jaren Jackson,PF, 6-11,242lb,Michigan State,2018,4,MEM,0,0,1,58,56,1515,798,272,64,0.506,0.359,0.7659999999999999,26.1,13.8,4.7,1.1,5.1,10.2,0.9,2.4,0.5489999999999999,2.6,3.4,1.3,3.4,0.9,1.4,1.7,3.8,3.3,0.105,0.1,0.8,1,83,242,4,Markieff Morris
3,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/youngtr01.jpg,Trae Young,PG, 6-2,180lb,Oklahoma,2018,5,DAL,0,0,1,81,81,2503,1549,301,653,0.418,0.324,0.8290000000000001,30.9,19.1,3.7,8.1,6.5,15.5,1.9,6.0,0.48,4.2,5.1,0.8,2.9,0.9,0.2,3.8,1.7,3.3,0.062,-1.1,0.6,1,74,180,1,Devin Booker
4,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/bambamo01.jpg,Mohamed Bamba,C, 7-1,241lb,Texas,2018,6,ORL,0,0,1,47,1,766,292,233,39,0.48100000000000004,0.3,0.5870000000000001,16.3,6.2,5.0,0.8,2.5,5.2,0.4,1.5,0.525,0.8,1.3,1.4,3.6,0.3,1.4,0.9,2.2,1.7,0.106,-0.2,0.4,1,85,241,5,Zach Collins
5,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/cartewe01.jpg,Wendell Carter,C, 6-10,255lb,Duke,2018,7,CHI,0,0,1,44,44,1110,455,307,78,0.485,0.188,0.795,25.2,10.3,7.0,1.8,4.1,8.4,0.1,0.7,0.493,2.0,2.5,2.0,5.0,0.6,1.3,1.5,3.5,1.9,0.08,-0.5,0.4,1,82,255,5,Jason Thompson
6,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/sextoco01.jpg,Collin Sexton,PG, 6-2,190lb,Alabama,2018,8,CLE,0,0,1,82,72,2605,1371,236,243,0.43,0.402,0.8390000000000001,31.8,16.7,2.9,3.0,6.3,14.7,1.5,3.6,0.48,2.6,3.1,0.7,2.2,0.5,0.1,2.3,2.3,-0.6,-0.011000000000000001,-5.2,-2.1,1,74,190,1,Zach LaVine
7,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/knoxke01.jpg,Kevin Knox,PF, 6-9,215lb,Kentucky,2018,9,NYK,0,0,1,75,57,2158,963,335,82,0.37,0.34299999999999997,0.7170000000000001,28.8,12.8,4.5,1.1,4.5,12.2,1.7,4.9,0.43799999999999994,2.2,3.0,0.8,3.7,0.6,0.3,1.5,2.3,-1.3,-0.03,-6.0,-2.2,1,81,215,4,Taurean Waller-Prince
8,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/bridgmi01.jpg,Mikal Bridges,SF, 6-7,210lb,Villanova,2018,10,PHI,0,0,1,82,56,2417,684,264,173,0.43,0.335,0.805,29.5,8.3,3.2,2.1,3.0,6.9,1.3,3.8,0.523,1.2,1.4,0.7,2.5,1.6,0.5,0.9,2.5,2.9,0.057999999999999996,-0.2,1.1,1,79,210,3,Iman Shumpert
9,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/gilgesh01.jpg,Shai Gilgeous-Alexander,PG, 6-6,181lb,Kentucky,2018,11,CHO,0,0,1,82,73,2174,889,232,270,0.47600000000000003,0.36700000000000005,0.8,26.5,10.8,2.8,3.3,4.2,8.7,0.6,1.7,0.512,1.9,2.4,0.7,2.1,1.2,0.5,1.7,2.1,3.3,0.07400000000000001,-0.3,0.9,1,78,181,1,Delonte West
