,draft_yr,pick,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
0,2018,1,0.585,0,0.746,30.7,16.3,10.3,1.8,7.2,12.3,0,0.1,0.585,2,2.7,3.1,7.1,0.9,0.9,1.8,2.9,0.128,0.2,1.2,1,85,250,5,Greg Monroe
1,2018,2,0.504,0.313,0.691,25.3,14.9,7.6,1,5.7,11.4,0.5,1.5,0.525,2.9,4.2,2.6,5,0.5,1,1.6,1.9,0.11,-1.8,0.1,1,83,234,4,John Collins
2,2018,4,0.506,0.359,0.766,26.1,13.8,4.7,1.1,5.1,10.2,0.9,2.4,0.549,2.6,3.4,1.3,3.4,0.9,1.4,1.7,3.8,0.105,0.1,0.8,1,83,242,4,Markieff Morris
3,2018,5,0.418,0.324,0.829,30.9,19.1,3.7,8.1,6.5,15.5,1.9,6,0.48,4.2,5.1,0.8,2.9,0.9,0.2,3.8,1.7,0.062,-1.1,0.6,1,74,180,1,Devin Booker
4,2018,6,0.481,0.3,0.587,16.3,6.2,5,0.8,2.5,5.2,0.4,1.5,0.525,0.8,1.3,1.4,3.6,0.3,1.4,0.9,2.2,0.106,-0.2,0.4,1,85,241,5,Zach Collins
5,2018,7,0.485,0.188,0.795,25.2,10.3,7,1.8,4.1,8.4,0.1,0.7,0.493,2,2.5,2,5,0.6,1.3,1.5,3.5,0.08,-0.5,0.4,1,82,255,5,Jason Thompson
6,2018,8,0.43,0.402,0.839,31.8,16.7,2.9,3,6.3,14.7,1.5,3.6,0.48,2.6,3.1,0.7,2.2,0.5,0.1,2.3,2.3,-0.011,-5.2,-2.1,1,74,190,1,Zach LaVine
7,2018,9,0.37,0.343,0.717,28.8,12.8,4.5,1.1,4.5,12.2,1.7,4.9,0.438,2.2,3,0.8,3.7,0.6,0.3,1.5,2.3,-0.03,-6,-2.2,1,81,215,4,Taurean Waller-Prince
8,2018,10,0.43,0.335,0.805,29.5,8.3,3.2,2.1,3,6.9,1.3,3.8,0.523,1.2,1.4,0.7,2.5,1.6,0.5,0.9,2.5,0.058,-0.2,1.1,1,79,210,3,Iman Shumpert
9,2018,11,0.476,0.367,0.8,26.5,10.8,2.8,3.3,4.2,8.7,0.6,1.7,0.512,1.9,2.4,0.7,2.1,1.2,0.5,1.7,2.1,0.074,-0.3,0.9,1,78,181,1,Delonte West
10,2018,12,0.464,0.325,0.753,21.2,7.5,4,1.2,3,6.4,0.8,2.5,0.527,0.7,1,0.8,3.2,0.7,0.6,0.6,1.4,0.083,-0.6,0.6,1,79,225,3,Patrick Patterson
11,2018,13,0.4,0.316,0.667,9.7,3.4,1.2,0.6,1.3,3.3,0.5,1.7,0.482,0.2,0.3,0.1,1.2,0.3,0.1,0.4,1.4,0.012,-4.3,-0.2,1,77,190,2,Rashad Vaughn
12,2018,15,0.415,0.319,0.681,14,4.8,2.8,1.5,1.9,4.5,0.4,1.3,0.462,0.6,0.9,0.7,2.1,0.4,0.1,0.6,1.1,0.039,-3.7,-0.3,1,79,215,3,Justin Anderson
13,2018,16,0.412,0.375,0.75,18.5,6.7,2.2,1.7,2.3,5.7,1,2.7,0.5,1,1.3,0.5,1.7,0.3,0.3,1,1.3,0.048,-4,-0.1,1,76,199,2,Nik Stauskas
14,2018,17,0.403,0.265,0.75,15.2,4.9,2.4,1.1,1.9,4.6,0.8,3.1,0.492,0.3,0.4,0.6,1.8,0.5,0.2,0.7,1.4,0.069,-1.8,0,1,76,203,2,James Anderson
15,2018,18,0.348,0.385,0.8,6.9,2.6,1,0.5,0.9,2.7,0.3,0.8,0.402,0.5,0.6,0,1,0.4,0.2,0.2,0.4,0.019,-4.4,-0.1,1,77,205,2,C.J. Wilcox
16,2018,19,0.419,0.385,0.732,27.3,9.7,3.3,2.9,3.7,8.8,1.8,4.7,0.522,0.5,0.7,0.8,2.5,0.9,0.3,1.5,2.1,0.034,-1.9,0.1,1,79,190,2,Denzel Valentine
17,2018,20,0.386,0.279,0.728,23.7,7.7,2.9,1.2,2.6,6.9,0.8,2.9,0.445,1.6,2.2,0.6,2.4,1.2,0.4,0.9,2.2,0.034,-1.7,0.1,1,76,212,2,Iman Shumpert
18,2018,21,0.376,0.323,0.75,10.9,5.6,0.6,0.7,1.8,4.7,0.8,2.6,0.466,1.2,1.6,0.1,0.5,0.2,0.2,0.9,1.2,0.002,-6.8,-0.5,1,77,198,2,Elliot Williams
19,2018,22,0.459,0.28,0.605,20.3,5.2,4.2,0.8,2.2,4.8,0.3,1.1,0.493,0.5,0.9,0.7,3.5,0.5,0.1,0.6,1.3,0.03,-4.3,-0.5,1,79,197,3,Troy Brown
20,2018,23,0.401,0.339,0.82,12.9,5.9,1.3,1.7,2.1,5.2,0.9,2.5,0.483,0.8,1,0.1,1.2,0.4,0.3,0.8,1.4,0.065,-2.6,-0.1,1,73,185,1,Cameron Payne
